,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,close price,win,win_loss
319,3.41,0.885724454,0.027435606,-1202.658663,0.152288456,0.02054985,0.180280918,81.83439539,71.33135733,66.2073436,10.50303806,5.124013732,-1.543,0.944661845,4.19,0.7800000000000002,1
320,3.06,0.925924374,0.020331497,-1171.798046,0.152084053,0.020989174,0.175847684,82.85559772,75.37510199,70.18997982,7.480495726,5.185122174,-1.543,1.023844559,2.76,-0.30000000000000027,0
323,4.79,0.755251701,0.029370015,-999.3974274,0.193196071,0.030518273,0.216734264,67.5939536,66.7738349,64.44273727,0.820118706,2.33109763,0.371,0.944220774,4.51,-0.28000000000000025,0
324,4.89,0.772308769,0.032471927,-1142.350953,0.176393215,0.025521088,0.206564333,61.9244939,58.39034572,56.13359065,3.534148177,2.256755066,3.035,0.825709617,5.89,1.0,1
325,5.28,0.598372425,0.034587901,-1053.348631,0.195637042,0.029464108,0.225699289,72.24822143,67.05452383,63.57674439,5.193697602,3.477779443,3.035,0.961904752,3.65,-1.6300000000000003,0
327,3.82,0.735429916,0.043573365,-1295.727611,0.158579431,0.020342176,0.186603939,73.48587714,65.99039041,62.93212225,7.495486732,3.058268154,5.264,1.039461873,4.61,0.7900000000000005,1
328,3.27,0.782799917,0.03940684,-1283.641492,0.158632973,0.020622317,0.184780808,65.18821425,65.56540407,63.89038437,-0.377189818,1.675019699,5.264,0.830193726,3.95,0.6800000000000002,1
329,3.34,0.853434295,0.033298009,-1182.658913,0.158597812,0.021213489,0.170187092,76.9726053,67.68310711,63.69047316,9.289498185,3.992633953,5.264,0.897817932,4.02,0.6799999999999997,1
330,2.82,0.93154918,0.022285177,-1009.892163,0.158109658,0.02217668,0.145599459,80.48597528,69.79271953,65.07624621,10.69325576,4.716473317,5.264,1.014209656,3.1,0.28000000000000025,1
333,5.75,0.64846605,0.031935598,-1430.069782,0.178103304,0.024437577,0.256428715,90.60191028,86.41869013,83.34607544,4.183220152,3.072614691,5.078,1.474159443,3.68,-2.07,0
334,4.03,0.088694105,0.018377336,-1091.704706,0.174186104,0.021020501,0.199842899,68.00142092,62.05566051,59.27189768,5.945760415,2.783762826,3.278,1.003195241,2.81,-1.2200000000000002,0
340,5.3,-0.537686686,0.057188542,-1206.274,0.154090772,-0.021949208,0.180811001,75.98978312,69.29632796,67.05206579,6.693455159,2.244262175,0.766,1.156992631,3.64,-1.6599999999999997,0
343,4.26,0.993629056,0.002457397,-856.437603,0.170698876,0.029877403,0.159244372,78.85976887,68.22408515,64.69882666,10.63568372,3.525258494,-0.184,1.140578891,5.13,0.8700000000000001,1
344,3.96,0.999902379,7.28e-05,-595.5904125,0.16253749,0.03313271,0.115591863,84.47562383,74.55220246,69.24107157,9.923421371,5.311130892,-0.184,1.087712377,4.77,0.8099999999999996,1
345,3.27,0.996813269,0.00104343,-12058.7061,0.077840054,0.004796701,0.444054208,66.89144773,62.97961841,61.66589015,3.911829316,1.313728263,-1.081,0.911548875,3.46,0.18999999999999995,1
351,3.71,0.519265797,0.070420183,-988.7275842,0.1641354,0.020473578,0.137170332,75.18254054,67.26098059,64.36532567,7.92155995,2.895654927,2.288,1.2444337,2.55,-1.1600000000000001,0
353,2.48,-0.402312259,0.060205208,-1109.885453,0.163828993,-0.022430944,0.156588544,70.4880193,65.42716195,63.69203244,5.060857359,1.735129505,4.291,1.129457002,2.53,0.04999999999999982,1
356,4.63,0.805324661,0.043151818,-3100.948622,0.116209883,0.010406173,0.215934475,74.14274942,69.66015907,68.27847468,4.482590347,1.38168439,0.504,0.924088419,5.63,1.0,1
357,4.55,0.655517243,0.038997945,-892.4404528,0.203261448,0.031597493,0.183477993,85.94300798,78.20487602,75.18474863,7.738131956,3.020127395,0.504,1.036167377,5.59,1.04,1
358,4.12,0.714778517,0.036627632,-874.1090092,0.203405434,0.032208642,0.179518449,78.45884758,76.17213343,74.41129372,2.28671415,1.760839716,0.504,0.914392608,5.07,0.9500000000000002,1
360,4.37,0.862887133,0.027315813,-751.1253281,0.203051821,0.034302287,0.154194888,88.38869856,79.30830202,74.89548772,9.080396543,4.412814295,0.504,1.034217636,4.47,0.09999999999999964,1
362,2.5,0.994642276,0.004715154,-550.6340688,0.161868588,0.025736214,0.076719943,75.38356401,67.96800016,63.27778991,7.415563854,4.690210245,0.93,1.009617588,1.69,-0.81,0
370,6.57,-0.507100376,0.048220248,-780.7653047,0.199891009,-0.034444458,0.16641103,88.36646451,80.37021076,75.05220282,7.996253749,5.318007933,-1.292,1.032086444,7.12,0.5499999999999998,1
374,5.16,0.699690829,0.032476097,-1320.538155,0.186404383,0.026220532,0.225847455,86.6444723,75.35583875,69.07541488,11.28863355,6.280423867,-0.601,1.254856501,3.1,-2.06,0
381,3.83,0.722531146,0.046728364,-1903.879628,0.136493314,0.014899123,0.20708256,73.26992,66.90028783,63.7257989,6.369632172,3.174488931,-4.139,1.034676343,2.67,-1.1600000000000001,0
382,3.88,0.814298497,0.041849863,-603.4786287,0.194516771,0.032517786,0.129059624,89.01483618,78.02832997,72.10527592,10.98650621,5.923054058,-4.321,1.076611077,3.34,-0.54,0
387,2.34,0.982472056,0.01117672,-470.6775031,0.171436385,0.029798244,0.086409703,80.43855946,70.26470907,64.90241289,10.17385039,5.362296189,-2.022,1.245783149,2.17,-0.16999999999999993,0
