,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
223,3.03,-0.410781277,0.04428095,-1083.084287,0.184865694,-0.028677968,0.188775313,49.79215596,44.98820304,44.24545484,4.803952924,0.742748197,2.11,-0.9199999999999999,0
229,3.32,-0.448384015,0.225306076,-2441.583202,0.085976483,-0.00579664,0.081624849,36.70981137,40.29180893,41.780823,-3.581997561,-1.48901407,5.09,1.77,1
230,2.27,-0.056301366,0.020238439,-944.1277712,0.170714494,-0.02069054,0.127528381,19.01751316,26.16966697,29.83162662,-7.152153815,-3.661959647,3.09,0.8199999999999998,1
236,1.82,-0.949184887,0.039854316,-881.0380964,0.151845753,-0.020089769,0.087069564,20.01453816,29.03280222,32.8359655,-9.018264054,-3.803163286,1.27,-0.55,0
237,3.74,-0.984716978,0.014312118,-4748.611616,0.086371944,-0.006624933,0.157883661,22.76286393,30.00699664,34.12790978,-7.244132714,-4.120913132,4.29,0.5499999999999998,1
239,2.63,-0.678699886,0.050065147,-1250.675557,0.172586848,-0.025248051,0.167037164,20.08776319,29.3830076,33.35257945,-9.295244408,-3.969571851,3.22,0.5900000000000003,1
240,2.49,-0.502490502,0.054831015,-1260.87746,0.171801038,-0.024171011,0.169130869,29.52962022,32.04343264,34.46542223,-2.513812421,-2.421989594,3.08,0.5899999999999999,1
241,2.21,-0.523130854,0.055481383,-1245.137623,0.17131605,-0.024194485,0.167502328,19.33578247,28.58860564,32.19114521,-9.252823175,-3.602539573,2.78,0.5699999999999998,1
242,2.37,-0.487696306,0.05488093,-1258.38203,0.170602396,-0.023934051,0.169976287,21.81164912,27.44972971,30.53959073,-5.638080589,-3.089861026,1.64,-0.7300000000000002,0
244,3.63,-0.628878496,0.036379065,-781.6401067,0.220882484,-0.043066664,0.189317797,48.89634196,41.98306384,40.54323564,6.913278123,1.439828198,4.37,0.7400000000000002,1
245,3.89,-0.497887474,0.036945145,-806.0915552,0.219256604,-0.041255204,0.196588115,24.11885893,29.35959822,32.01056391,-5.240739297,-2.650965684,4.86,0.9700000000000002,1
246,3.96,-0.530162025,0.036094327,-823.981182,0.218388148,-0.041569239,0.201731046,13.48839376,21.21364857,25.44766832,-7.72525481,-4.23401975,2.75,-1.21,0
247,3.59,-0.477126121,0.046550709,-805.4529792,0.201849738,-0.034562387,0.169299066,26.02503302,32.2550223,35.55990027,-6.229989279,-3.304877972,4.89,1.2999999999999998,1
248,3.24,-0.681039499,0.037603566,-903.2905697,0.199482386,-0.036501342,0.192044255,21.80956847,32.37071092,35.5506752,-10.56114245,-3.179964276,2.21,-1.0300000000000002,0
