index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
124,-0.364216,0.066273,-978.588052,0.164427,-0.022149,0.137048,32.086760,32.498463,35.173435,-0.411703,-2.674971,2.183,0.109590,0.998848,1.008564,1.007402,1.0
125,-0.406181,0.067932,-987.277064,0.164350,-0.022358,0.138331,33.577036,37.599405,38.985292,-4.022369,-1.385887,2.183,-0.017599,0.998848,1.010120,1.008956,1.0
126,-0.459527,0.073502,-935.610961,0.164263,-0.022539,0.131191,38.906823,39.568366,40.626637,-0.661543,-1.058270,2.183,0.168171,0.998848,1.012169,1.011003,1.0
127,-0.463427,0.071368,-964.465614,0.163815,-0.022538,0.135591,20.343214,28.526598,32.580957,-8.183384,-4.054360,2.183,-0.045613,0.998848,1.014845,1.013675,0.0
128,-0.463427,0.071368,-964.465614,0.163815,-0.022538,0.135591,31.060464,34.695709,36.791548,-3.635245,-2.095840,1.622,-0.004043,1.004291,1.007830,1.012154,1.0
129,-0.410781,0.044281,-1083.084287,0.184866,-0.028678,0.188775,49.792156,44.988203,44.245455,4.803953,0.742748,2.140,0.389648,0.996323,1.009404,1.005693,0.0
130,-0.448384,0.225306,-2441.583202,0.085976,-0.005797,0.081625,36.709811,40.291809,41.780823,-3.581998,-1.489014,3.506,-0.041525,0.995426,1.007690,1.003081,1.0
131,-0.056301,0.020238,-944.127771,0.170714,-0.020691,0.127528,19.017513,26.169667,29.831627,-7.152154,-3.661960,3.788,-0.102530,0.992990,1.007876,1.000810,1.0
132,-0.949185,0.039854,-881.038096,0.151846,-0.020090,0.087070,20.014538,29.032802,32.835966,-9.018264,-3.803163,3.384,-0.025827,1.006776,1.007694,1.014522,0.0
133,-0.984717,0.014312,-4748.611616,0.086372,-0.006625,0.157884,22.762864,30.006997,34.127910,-7.244133,-4.120913,2.592,-0.143540,1.012375,1.007661,1.020130,1.0
134,-0.678700,0.050065,-1250.675557,0.172587,-0.025248,0.167037,20.087763,29.383008,33.352579,-9.295244,-3.969572,-0.532,-0.077236,1.000859,1.013664,1.014534,1.0
135,-0.502491,0.054831,-1260.877460,0.171801,-0.024171,0.169131,29.529620,32.043433,34.465422,-2.513812,-2.421990,-0.532,0.168787,1.000859,1.015383,1.016255,1.0
136,-0.523131,0.055481,-1245.137623,0.171316,-0.024194,0.167502,19.335782,28.588606,32.191145,-9.252823,-3.602540,-0.532,-0.172509,1.000859,1.018764,1.019639,1.0
137,-0.487696,0.054881,-1258.382030,0.170602,-0.023934,0.169976,21.811649,27.449730,30.539591,-5.638081,-3.089861,-0.532,0.045211,1.000859,1.022143,1.023020,0.0
138,-0.628878,0.036379,-781.640107,0.220882,-0.043067,0.189318,48.896342,41.983064,40.543236,6.913278,1.439828,-2.227,0.416149,0.996930,1.008994,1.005896,1.0
139,-0.497887,0.036945,-806.091555,0.219257,-0.041255,0.196588,24.118859,29.359598,32.010564,-5.240739,-2.650966,-2.227,-0.157792,0.996930,1.012815,1.009705,1.0
140,-0.530162,0.036094,-823.981182,0.218388,-0.041569,0.201731,13.488394,21.213649,25.447668,-7.725255,-4.234020,-2.227,0.053448,0.996930,1.017664,1.014539,0.0
141,-0.477126,0.046551,-805.452979,0.201850,-0.034562,0.169299,26.025033,32.255022,35.559900,-6.229989,-3.304878,-4.802,0.044520,0.997220,1.007697,1.004896,1.0
142,-0.681039,0.037604,-903.290570,0.199482,-0.036501,0.192044,21.809568,32.370711,35.550675,-10.561142,-3.179964,-5.772,0.031372,1.004844,1.007777,1.012659,0.0
143,-0.163142,0.030887,-969.319839,0.181502,-0.026044,0.172090,18.950336,23.087336,26.786928,-4.137000,-3.699593,-6.296,0.037287,0.991794,1.007918,0.999647,1.0
144,-0.220579,0.036153,-1001.087816,0.181572,-0.026629,0.177653,25.720524,28.651822,30.109996,-2.931298,-1.458174,-6.296,-0.100156,0.991794,1.011719,1.003417,1.0
145,-0.270959,0.040298,-1006.594216,0.181540,-0.027038,0.178670,26.624234,30.491332,31.689877,-3.867098,-1.198546,-6.296,-0.007329,0.991794,1.015021,1.006691,1.0
146,-0.315427,0.044986,-970.541581,0.181486,-0.027291,0.172362,33.654068,35.732556,35.931735,-2.078488,-0.199180,-6.296,0.021438,0.991794,1.018110,1.009756,1.0
147,-0.391628,0.054013,-877.667159,0.181375,-0.027624,0.156058,19.031900,28.877866,33.692406,-9.845966,-4.814540,-6.296,-0.089092,0.991794,1.022826,1.014433,1.0
148,-0.394050,0.089288,-5951.924434,0.080882,-0.005718,0.211240,59.039862,51.503973,48.531293,7.535890,2.972680,-6.294,0.897796,0.995735,1.009766,1.005460,0.0
