Date,residuals,dow,month,dom,yest_volume,yest_p_diff,CNN-2,CNN-dif-2,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6
2023-02-17,-1.7653076553344818,4,2,17,82655920.0,-0.00994763086020704,71.0,-3.0,-5.699389190673855,-0.7752223205566224,-0.7244971847534316,3.122379379272445,-0.05006595611570219,-5.2652303314209234
2023-02-21,-7.7027656173706305,1,2,21,83742290.0,-0.0024589752596978,69.0,-2.0,-1.7653076553344818,-5.699389190673855,-0.7752223205566224,-0.7244971847534316,3.122379379272445,-0.05006595611570219
2023-02-22,0.08210186004640718,2,2,22,96242400.0,-0.0022462936155343114,66.0,-3.0,-7.7027656173706305,-1.7653076553344818,-5.699389190673855,-0.7752223205566224,-0.7244971847534316,3.122379379272445
2023-02-23,1.5515109634399664,3,2,23,108194400.0,0.002421918361168524,64.0,-2.0,0.08210186004640718,-7.7027656173706305,-1.7653076553344818,-5.699389190673855,-0.7752223205566224,-0.7244971847534316
2023-02-24,-4.054365272521977,4,2,24,80444740.0,-0.00538053453347745,63.0,-1.0,1.5515109634399664,0.08210186004640718,-7.7027656173706305,-1.7653076553344818,-5.699389190673855,-0.7752223205566224
2023-02-27,-0.41811992645261853,0,2,27,96438570.0,-0.002447887750466934,61.0,-2.0,-4.054365272521977,1.5515109634399664,0.08210186004640718,-7.7027656173706305,-1.7653076553344818,-5.699389190673855
2023-02-28,-1.196498146057138,1,2,28,99706820.0,-0.0016973197547753354,61.0,0.0,-0.41811992645261853,-4.054365272521977,1.5515109634399664,0.08210186004640718,-7.7027656173706305,-1.7653076553344818
2023-03-01,-1.7776286697387604,2,3,1,85404730.0,0.012895603428772518,61.0,0.0,-1.196498146057138,-0.41811992645261853,-4.054365272521977,1.5515109634399664,0.08210186004640718,-7.7027656173706305
2023-03-02,3.1622882461547874,3,3,2,90119950.0,0.011083896187436647,66.0,5.0,-1.7776286697387604,-1.196498146057138,-0.41811992645261853,-4.054365272521977,1.5515109634399664,0.08210186004640718
2023-03-03,7.5854038619995094,4,3,3,72795950.0,-0.001433975325734873,52.0,-14.0,3.1622882461547874,-1.7776286697387604,-1.196498146057138,-0.41811992645261853,-4.054365272521977,1.5515109634399664
2023-03-06,0.4933774185180937,0,3,6,108310600.0,-0.015441785723253157,56.0,4.0,7.5854038619995094,3.1622882461547874,-1.7776286697387604,-1.196498146057138,-0.41811992645261853,-4.054365272521977
2023-03-07,-5.709755401611346,1,3,7,74746630.0,0.0013285871854006555,55.0,-1.0,0.4933774185180937,7.5854038619995094,3.1622882461547874,-1.7776286697387604,-1.196498146057138,-0.41811992645261853
2023-03-08,-1.1379881668090661,2,3,8,111945300.0,-0.020890795791194215,50.0,-5.0,-5.709755401611346,0.4933774185180937,7.5854038619995094,3.1622882461547874,-1.7776286697387604,-1.196498146057138
2023-03-09,-7.123984756469724,3,3,9,189253000.0,-0.013163691016039968,49.0,-1.0,-1.1379881668090661,-5.709755401611346,0.4933774185180937,7.5854038619995094,3.1622882461547874,-1.7776286697387604
2023-03-10,-6.488781776428198,4,3,10,157790000.0,0.009212165248079747,37.0,-12.0,-7.123984756469724,-1.1379881668090661,-5.709755401611346,0.4933774185180937,7.5854038619995094,3.1622882461547874
2023-03-13,-1.2933966064452989,0,3,13,149752400.0,0.003139917800525919,24.0,-13.0,-6.488781776428198,-7.123984756469724,-1.1379881668090661,-5.709755401611346,0.4933774185180937,7.5854038619995094
2023-03-14,6.520355682373065,1,3,14,172996900.0,0.008708384710234244,26.0,2.0,-1.2933966064452989,-6.488781776428198,-7.123984756469724,-1.1379881668090661,-5.709755401611346,0.4933774185180937
2023-03-15,-3.181169242858914,2,3,15,143753900.0,0.02345308121481412,24.0,-2.0,6.520355682373065,-1.2933966064452989,-6.488781776428198,-7.123984756469724,-1.1379881668090661,-5.709755401611346
2023-03-16,6.081037864685072,3,3,16,140553400.0,-0.008282263647785887,22.0,-2.0,-3.181169242858914,6.520355682373065,-1.2933966064452989,-6.488781776428198,-7.123984756469724,-1.1379881668090661
2023-03-17,-7.881296882629385,4,3,17,93055780.0,0.007466856301112403,33.0,11.0,6.081037864685072,-3.181169242858914,6.520355682373065,-1.2933966064452989,-6.488781776428198,-7.123984756469724
2023-03-20,2.672037353515634,0,3,20,91524250.0,0.00418640796169566,29.0,-4.0,-7.881296882629385,6.081037864685072,-3.181169242858914,6.520355682373065,-1.2933966064452989,-6.488781776428198
2023-03-21,4.092145118713404,1,3,21,111746600.0,-0.01688301752059372,38.0,9.0,2.672037353515634,-7.881296882629385,6.081037864685072,-3.181169242858914,6.520355682373065,-1.2933966064452989
2023-03-22,-7.158445968627916,2,3,22,119351300.0,-0.0048833837780094085,43.0,5.0,4.092145118713404,2.672037353515634,-7.881296882629385,6.081037864685072,-3.181169242858914,6.520355682373065
2023-03-23,0.4839200210571448,3,3,23,107770100.0,0.009877447883764982,40.0,-3.0,-7.158445968627916,4.092145118713404,2.672037353515634,-7.881296882629385,6.081037864685072,-3.181169242858914
